deputado_id,idLegislatura_inicial,data_inicio_carreira,partido_inicio_carreira,condicao_eleitoral_inicial
178856,55,2015-02-01T00:00,PSDB,
204429,56,2019-02-01T00:00,PSB,
74781,47,1983-02-01T00:00,PMDB,Titular
74550,50,1995-02-01T00:00,PSDB,Titular
74049,52,2003-02-01T00:00,PTB,Titular
74120,50,1995-02-01T00:00,PPB,
73572,51,1999-02-01T00:00,PT,
141459,53,2007-02-01T00:00,PR,Titular
112437,55,2015-02-01T00:00,PMDB,
73873,50,1995-02-01T00:00,PMDB,Titular
141460,53,2007-02-01T00:00,PFL,Titular
73534,50,1995-02-01T00:00,PT,Titular
74154,52,2003-02-01T00:00,PL*,Titular
178967,55,2015-02-01T00:00,PSD,
160549,54,2011-02-01T00:00,PT,Titular
178988,55,2015-02-01T00:00,PSDB,
73874,50,1995-02-01T00:00,PPR,Titular
160571,54,2011-02-01T00:00,DEM,Titular
204576,56,2019-02-01T00:00,PRB,
74240,49,1991-02-01T00:00,PDS,Titular
141461,53,2007-02-01T00:00,PMDB,Titular
74477,48,1987-02-01T00:00,PFL,Titular
178910,55,2015-02-01T00:00,PSD,
214865,56,2019-02-01T00:00,PPS,
73575,51,1999-02-01T00:00,PFL,
204468,56,2019-02-01T00:00,REDE,
73658,48,1987-02-01T00:00,PFL,Titular
204546,56,2019-02-01T00:00,PSL,
160548,54,2011-02-01T00:00,PSB,Titular
194262,55,2015-02-01T00:00,PMDB,
217480,56,2019-02-01T00:00,PSD,
74568,51,1999-02-01T00:00,PPB,Titular
178971,55,2015-02-01T00:00,PRB,
74563,51,1999-02-01T00:00,PMDB,Titular
74686,51,1999-02-01T00:00,PT,Titular
74388,52,2003-02-01T00:00,PT,Titular
205550,56,2019-02-01T00:00,PRB,Suplente
160572,54,2011-02-01T00:00,PTB,Titular
214694,56,2019-02-01T00:00,PR,
74495,52,2003-02-01T00:00,PSB,
74552,49,1991-02-01T00:00,PFL,Titular
73569,51,1999-02-01T00:00,PRONA,
178857,55,2015-02-01T00:00,PT,
73535,49,1991-02-01T00:00,PMDB,Titular
135476,52,2003-02-01T00:00,PSDB,
4927,53,2007-02-01T00:00,PFL,
160509,54,2011-02-01T00:00,PSDB,Titular
218245,56,2019-02-01T00:00,PR,
141464,53,2007-02-01T00:00,PT,Titular
73536,49,1991-02-01T00:00,PSDB,
73831,49,1991-02-01T00:00,PL*,Titular
160661,54,2011-02-01T00:00,PTB,Titular
73775,50,1995-02-01T00:00,PTB,Titular
74553,49,1991-02-01T00:00,PFL,Titular
74140,52,2003-02-01T00:00,PFL,Titular
74671,51,1999-02-01T00:00,PTB,Titular
74055,52,2003-02-01T00:00,PFL,Titular
73462,47,1983-02-01T00:00,PDS,Titular
73875,50,1995-02-01T00:00,PFL,Titular
74423,50,1995-02-01T00:00,PSB,Titular
160560,54,2011-02-01T00:00,PT,Titular
74782,49,1991-02-01T00:00,PT,Titular
74175,52,2003-02-01T00:00,PMDB,Titular
151249,53,2007-02-01T00:00,PR,
74274,52,2003-02-01T00:00,PT,Titular
141466,53,2007-02-01T00:00,PV,Titular
131966,47,1983-02-01T00:00,PMDB,Titular
73901,49,1991-02-01T00:00,PT,Titular
73540,47,1983-02-01T00:00,PT,Titular
141470,53,2007-02-01T00:00,PT,Titular
160396,53,2007-02-01T00:00,PPS,
74401,52,2003-02-01T00:00,PMDB,Titular
73776,50,1995-02-01T00:00,PP***,Titular
74297,49,1991-02-01T00:00,PSDB,Titular
151965,53,2007-02-01T00:00,PFL,
204386,56,2019-02-01T00:00,DEM,
204472,56,2019-02-01T00:00,PODE,
74425,46,1979-02-01T00:00,ARENA,
74275,52,2003-02-01T00:00,PT,Titular
74584,51,1999-02-01T00:00,PSDB,Titular
74426,49,1991-02-01T00:00,PFL,Titular
204391,56,2019-02-01T00:00,PODE,
160619,54,2011-02-01T00:00,DEM,Titular
74395,52,2003-02-01T00:00,PPB,Titular
141471,53,2007-02-01T00:00,PV,Titular
74298,50,1995-02-01T00:00,PT,Titular
74079,50,1995-02-01T00:00,PMDB,Titular
74488,52,2003-02-01T00:00,PSDB,
73714,49,1991-02-01T00:00,PFL,Titular
204555,56,2019-02-01T00:00,PT,
71921,53,2007-02-01T00:00,PT,
74554,50,1995-02-01T00:00,PFL,Titular
74741,48,1987-02-01T00:00,PFL,Titular
160607,54,2011-02-01T00:00,PSB,Titular
74520,47,1983-02-01T00:00,PDS,Titular
152607,53,2007-02-01T00:00,PSDB,
209189,56,2019-02-01T00:00,PT,
4929,53,2007-02-01T00:00,PT,
114941,55,2015-02-01T00:00,PMDB,
74141,52,2003-02-01T00:00,PT,Titular
74176,52,2003-02-01T00:00,PSB,Titular
204563,56,2019-02-01T00:00,PR,
215043,56,2019-02-01T00:00,PHS,
74351,51,1999-02-01T00:00,PTB,Titular
73666,50,1995-02-01T00:00,PSDB,Titular
74276,52,2003-02-01T00:00,PV,Titular
178851,55,2015-02-01T00:00,PTB,
204474,56,2019-02-01T00:00,MDB,
67312,55,2015-02-01T00:00,PSC,
204420,56,2019-02-01T00:00,PSL,
141474,53,2007-02-01T00:00,PDT,Titular
160519,46,1979-02-01T00:00,ARENA,Titular
74317,50,1995-02-01T00:00,PFL,Titular
204372,56,2019-02-01T00:00,PRB,
73586,51,1999-02-01T00:00,PMDB,
74253,52,2003-02-01T00:00,PPB,Titular
73994,50,1995-02-01T00:00,PPR,
74783,51,1999-02-01T00:00,PSDB,Titular
204457,56,2019-02-01T00:00,DEM,
73942,52,2003-02-01T00:00,PPS,Titular
160648,54,2011-02-01T00:00,PMDB,Titular
201357,55,2015-02-01T00:00,PSD,
204497,56,2019-02-01T00:00,PSD,
204574,56,2019-02-01T00:00,PR,
204550,56,2019-02-01T00:00,PATRI,
178885,55,2015-02-01T00:00,PEN,
159058,53,2007-02-01T00:00,PFL,
160544,54,2011-02-01T00:00,DEM,Titular
74346,51,1999-02-01T00:00,PMDB,Titular
74493,52,2003-02-01T00:00,PSB,
141475,53,2007-02-01T00:00,PSC,Titular
178886,55,2015-02-01T00:00,PRP,
141476,53,2007-02-01T00:00,PFL,Titular
74570,47,1983-02-01T00:00,PDS,Titular
141477,53,2007-02-01T00:00,PT,Titular
178918,55,2015-02-01T00:00,PHS,
73592,51,1999-02-01T00:00,PFL,
160659,54,2011-02-01T00:00,PSB,Titular
74396,52,2003-02-01T00:00,PTB,Titular
204536,56,2019-02-01T00:00,DEM,
74742,48,1987-02-01T00:00,PFL,Titular
151208,53,2007-02-01T00:00,PSDB,
141478,53,2007-02-01T00:00,PMDB,Titular
98057,56,2019-02-01T00:00,PRB,
178894,55,2015-02-01T00:00,PMDB,
74856,50,1995-02-01T00:00,PP***,Titular
141479,53,2007-02-01T00:00,PSB,Titular
160534,54,2011-02-01T00:00,PSC,Titular
74463,51,1999-02-01T00:00,PFL,Titular
141480,53,2007-02-01T00:00,PP**,Titular
178832,55,2015-02-01T00:00,PV,
141481,53,2007-02-01T00:00,PPS,Titular
74367,52,2003-02-01T00:00,PMDB,Titular
204375,56,2019-02-01T00:00,AVANTE,
141562,53,2007-02-01T00:00,PMDB,Titular
74455,51,1999-02-01T00:00,PSDB,Titular
178825,55,2015-02-01T00:00,PT,
204359,56,2019-02-01T00:00,PODE,
204547,56,2019-02-01T00:00,PSL,
179385,54,2011-02-01T00:00,PMDB,
141452,53,2007-02-01T00:00,PRB,Titular
73473,51,1999-02-01T00:00,PPB,Titular
73716,48,1987-02-01T00:00,PDC,
122195,54,2011-02-01T00:00,PSC,
74155,52,2003-02-01T00:00,PV,Titular
74156,52,2003-02-01T00:00,PT,Titular
74254,52,2003-02-01T00:00,PMDB,Titular
141482,53,2007-02-01T00:00,PMDB,Titular
74368,52,2003-02-01T00:00,PPB,Titular
74299,50,1995-02-01T00:00,PSDB,Titular
160663,54,2011-02-01T00:00,PSB,Titular
92102,56,2019-02-01T00:00,DEM,
139285,48,1987-02-01T00:00,PCdoB,Titular
160533,54,2011-02-01T00:00,PR,Titular
74585,51,1999-02-01T00:00,PST,Titular
74858,50,1995-02-01T00:00,PCdoB,Titular
141483,53,2007-02-01T00:00,PV,Titular
74800,51,1999-02-01T00:00,PSDB,Titular
141462,53,2007-02-01T00:00,PFL,Titular
204405,56,2019-02-01T00:00,PSB,
74277,52,2003-02-01T00:00,PSDB,Titular
204382,56,2019-02-01T00:00,PSL,
196358,55,2015-02-01T00:00,PSDC,
160555,54,2011-02-01T00:00,PTdoB,Titular
81366,55,2015-02-01T00:00,PSB,
219592,56,2019-02-01T00:00,DEM,
204523,56,2019-02-01T00:00,NOVO,
204404,56,2019-02-01T00:00,PSDB,
178879,55,2015-02-01T00:00,SD,
141504,53,2007-02-01T00:00,PR,Titular
73474,49,1991-02-01T00:00,PT,Titular
65987,48,1987-02-01T00:00,PFL,Titular
81512,53,2007-02-01T00:00,PR,
74397,52,2003-02-01T00:00,PT,Titular
160628,54,2011-02-01T00:00,PCdoB,Titular
74478,51,1999-02-01T00:00,PSL,Titular
73982,49,1991-02-01T00:00,PL*,
178931,55,2015-02-01T00:00,PSB,
74028,52,2003-02-01T00:00,PDT,Titular
160513,54,2011-02-01T00:00,PMDB,Titular
73777,49,1991-02-01T00:00,PRN,Titular
73545,50,1995-02-01T00:00,PT,Titular
178954,55,2015-02-01T00:00,PMDB,
141484,53,2007-02-01T00:00,PMDB,Titular
94931,54,2011-02-01T00:00,PMDB,Titular
73483,51,1999-02-01T00:00,PPB,Titular
204381,56,2019-02-01T00:00,DEM,
160510,54,2011-02-01T00:00,PTdoB,Titular
204410,56,2019-02-01T00:00,PTB,
74133,50,1995-02-01T00:00,PT,
204448,56,2019-02-01T00:00,DC,
160547,54,2011-02-01T00:00,PP**,Titular
74810,51,1999-02-01T00:00,PMDB,Titular
160645,54,2011-02-01T00:00,PSDB,Titular
73778,49,1991-02-01T00:00,PMDB,Titular
204485,56,2019-02-01T00:00,PR,
178802,54,2011-02-01T00:00,PSDC,
73546,49,1991-02-01T00:00,PMDB,Titular
141486,53,2007-02-01T00:00,PFL,Titular
74142,52,2003-02-01T00:00,PFL,Titular
178955,55,2015-02-01T00:00,PR,
74041,52,2003-02-01T00:00,PT,Titular
74521,49,1991-02-01T00:00,PSC,Titular
171618,54,2011-02-01T00:00,DEM,
74137,48,1987-02-01T00:00,PT,
141487,53,2007-02-01T00:00,PP**,Titular
160662,54,2011-02-01T00:00,PSDB,Titular
204543,56,2019-02-01T00:00,PSB,
178982,55,2015-02-01T00:00,PSB,
204455,56,2019-02-01T00:00,PSL,
162332,54,2011-02-01T00:00,PSDB,
161962,54,2011-02-01T00:00,PSB,
161906,54,2011-02-01T00:00,PMDB,
141489,53,2007-02-01T00:00,PSDB,Titular
204526,56,2019-02-01T00:00,PSL,
74427,49,1991-02-01T00:00,PSB,Titular
160550,54,2011-02-01T00:00,PMDB,Titular
141337,52,2003-02-01T00:00,PSDB,
74486,52,2003-02-01T00:00,PSB,
74688,51,1999-02-01T00:00,PT,Titular
74784,51,1999-02-01T00:00,PSB,Titular
204418,56,2019-02-01T00:00,PRB,
178866,55,2015-02-01T00:00,PT,
73936,52,2003-02-01T00:00,PL*,Titular
198198,55,2015-02-01T00:00,PPS,
178867,55,2015-02-01T00:00,PSL,
166402,54,2011-02-01T00:00,PTB,
74802,51,1999-02-01T00:00,PT,Titular
204458,56,2019-02-01T00:00,PSL,
178826,55,2015-02-01T00:00,PDT,
179587,56,2019-02-01T00:00,PSL,
160633,54,2011-02-01T00:00,DEM,Titular
74288,52,2003-02-01T00:00,PT,Titular
179382,54,2011-02-01T00:00,PDT,
141490,53,2007-02-01T00:00,PSB,Titular
74456,51,1999-02-01T00:00,PSDB,Titular
204469,56,2019-02-01T00:00,PRB,
171622,54,2011-02-01T00:00,PR,
141492,53,2007-02-01T00:00,PCdoB,Titular
160565,54,2011-02-01T00:00,PSDB,Titular
204471,56,2019-02-01T00:00,PSDB,
74124,50,1995-02-01T00:00,PMDB,
212749,56,2019-02-01T00:00,PR,
156190,56,2019-02-01T00:00,NOVO,
178821,54,2011-02-01T00:00,PSB,
74164,52,2003-02-01T00:00,PMDB,Titular
74157,52,2003-02-01T00:00,PMDB,Titular
160660,54,2011-02-01T00:00,PSC,Titular
146613,53,2007-02-01T00:00,PMDB,
179000,55,2015-02-01T00:00,PRP,
146788,55,2015-02-01T00:00,PHS,
73548,49,1991-02-01T00:00,PMDB,Titular
178932,55,2015-02-01T00:00,PP**,
205863,56,2019-02-01T00:00,PSL,
204433,56,2019-02-01T00:00,PPS,
74460,51,1999-02-01T00:00,PMDB,Titular
195826,55,2015-02-01T00:00,PR,
76874,56,2019-02-01T00:00,PSOL,
74143,52,2003-02-01T00:00,PFL,Titular
141495,53,2007-02-01T00:00,PMDB,Titular
76287,54,2011-02-01T00:00,PDT,Titular
141494,53,2007-02-01T00:00,PMDB,Titular
133810,56,2019-02-01T00:00,PTB,
204558,56,2019-02-01T00:00,PSB,
74278,52,2003-02-01T00:00,PV,Titular
204556,56,2019-02-01T00:00,PR,
141493,53,2007-02-01T00:00,PSB,Titular
118594,55,2015-02-01T00:00,PRB,
74300,50,1995-02-01T00:00,PMDB,Titular
221147,56,2019-02-01T00:00,MDB,
178983,55,2015-02-01T00:00,PR,
179001,55,2015-02-01T00:00,PMDB,
74363,51,1999-02-01T00:00,PMDB,Titular
221183,56,2019-02-01T00:00,PCdoB,
74860,50,1995-02-01T00:00,PSDB,Titular
141497,53,2007-02-01T00:00,PSB,Titular
81055,56,2019-02-01T00:00,PCdoB,
141496,53,2007-02-01T00:00,PFL,Titular
204452,56,2019-02-01T00:00,PSL,
160542,54,2011-02-01T00:00,PT,Titular
150418,53,2007-02-01T00:00,PR,
178899,55,2015-02-01T00:00,PSDB,
115899,53,2007-02-01T00:00,PR,
74744,50,1995-02-01T00:00,PP***,Titular
178942,55,2015-02-01T00:00,PMDB,
204522,56,2019-02-01T00:00,PSD,
219585,56,2019-02-01T00:00,PP,
133373,52,2003-02-01T00:00,PT,
160536,54,2011-02-01T00:00,PSDB,Titular
160535,54,2011-02-01T00:00,PT,Titular
74470,44,1971-02-01T00:00,MDB*,Titular
74279,52,2003-02-01T00:00,PFL,Titular
178880,55,2015-02-01T00:00,PPS,
141499,53,2007-02-01T00:00,PSC,Titular
204431,56,2019-02-01T00:00,MDB,
74479,51,1999-02-01T00:00,PTB,Titular
74745,47,1983-02-01T00:00,PMDB,
74634,49,1991-02-01T00:00,PRN,Titular
141500,53,2007-02-01T00:00,PFL,Titular
204011,55,2015-02-01T00:00,PSB,
204506,56,2019-02-01T00:00,PRB,
178852,55,2015-02-01T00:00,PSC,
167722,54,2011-02-01T00:00,PDT,
178850,55,2015-02-01T00:00,PMDB,
178943,55,2015-02-01T00:00,PR,
159238,54,2011-02-01T00:00,PSDB,Titular
74235,50,1995-02-01T00:00,PSDB,
205297,55,2015-02-01T00:00,PSD,
204430,56,2019-02-01T00:00,PP,
171619,54,2011-02-01T00:00,PT,
74586,51,1999-02-01T00:00,PT,Titular
74398,52,2003-02-01T00:00,PT,Titular
64960,52,2003-02-01T00:00,PMDB,Titular
74255,52,2003-02-01T00:00,PMDB,Titular
74587,51,1999-02-01T00:00,PMDB,Titular
176794,54,2011-02-01T00:00,PT,
204540,56,2019-02-01T00:00,PRB,
178956,55,2015-02-01T00:00,PSDB,
74485,52,2003-02-01T00:00,PT,
204428,56,2019-02-01T00:00,PT,
141505,53,2007-02-01T00:00,PPS,Titular
164361,54,2011-02-01T00:00,PT,
204432,56,2019-02-01T00:00,PTC,
178919,55,2015-02-01T00:00,PSB,
74177,50,1995-02-01T00:00,PSDB,Titular
74329,50,1995-02-01T00:00,PFL,
74747,47,1983-02-01T00:00,PMDB,Titular
168447,54,2011-02-01T00:00,PMDB,
74158,52,2003-02-01T00:00,PDT,Titular
74635,50,1995-02-01T00:00,PSDB,Titular
178858,55,2015-02-01T00:00,PP**,
121759,54,2011-02-01T00:00,PMDB,Titular
204403,56,2019-02-01T00:00,PDT,
181315,55,2015-02-01T00:00,PMDB,
204566,56,2019-02-01T00:00,PATRI,
178843,55,2015-02-01T00:00,PMDB,
179880,54,2011-02-01T00:00,PSL,
147653,53,2007-02-01T00:00,PFL,
179386,54,2011-02-01T00:00,PSB,
75431,54,2011-02-01T00:00,PTB,
74050,52,2003-02-01T00:00,PSB,Titular
73947,52,2003-02-01T00:00,PL*,Titular
74045,52,2003-02-01T00:00,PT,Titular
141506,53,2007-02-01T00:00,PR,Titular
73588,51,1999-02-01T00:00,PMDB,
204486,56,2019-02-01T00:00,PDT,
74749,50,1995-02-01T00:00,PFL,Titular
141507,53,2007-02-01T00:00,PMDB,Titular
141508,53,2007-02-01T00:00,PSB,Titular
74389,52,2003-02-01T00:00,PT,Titular
124411,55,2015-02-01T00:00,PMDB,
178827,54,2011-02-01T00:00,PTB,
73780,48,1987-02-01T00:00,PMDB,Titular
74786,51,1999-02-01T00:00,PFL,Titular
73904,50,1995-02-01T00:00,PMDB,Titular
74428,50,1995-02-01T00:00,PFL,Titular
74056,52,2003-02-01T00:00,PFL,Titular
188097,55,2015-02-01T00:00,PT,
73552,48,1987-02-01T00:00,PMDB,
65511,47,1983-02-01T00:00,PMDB,Titular
141509,53,2007-02-01T00:00,PT,Titular
73939,52,2003-02-01T00:00,PL*,Titular
178984,55,2015-02-01T00:00,PSDB,
178985,55,2015-02-01T00:00,PR,
141469,53,2007-02-01T00:00,PHS,Titular
74337,48,1987-02-01T00:00,PMDB,Titular
74483,52,2003-02-01T00:00,PTB,
92172,56,2019-02-01T00:00,PSB,
74787,51,1999-02-01T00:00,PMDB,Titular
154178,53,2007-02-01T00:00,PFL,
74690,51,1999-02-01T00:00,PDT,Titular
160644,54,2011-02-01T00:00,PT,Titular
74862,44,1971-02-01T00:00,MDB*,Titular
178895,55,2015-02-01T00:00,DEM,
160561,54,2011-02-01T00:00,PP**,Titular
74238,49,1991-02-01T00:00,PMDB,
178859,55,2015-02-01T00:00,PT,
139311,48,1987-02-01T00:00,PMDB,
195278,55,2015-02-01T00:00,PCdoB,
73984,50,1995-02-01T00:00,PTB,Titular
74034,52,2003-02-01T00:00,PMDB,Titular
74863,45,1975-02-01T00:00,MDB*,Titular
141537,53,2007-02-01T00:00,PPS,Titular
74457,49,1991-02-01T00:00,PDC,Titular
178997,55,2015-02-01T00:00,PPS,
74464,51,1999-02-01T00:00,PMDB,Titular
74375,52,2003-02-01T00:00,PFL,Titular
74318,48,1987-02-01T00:00,PFL,Titular
74108,50,1995-02-01T00:00,PSDB,
73499,48,1987-02-01T00:00,PDS,Titular
204453,56,2019-02-01T00:00,PT,
133372,52,2003-02-01T00:00,PMDB,
74491,52,2003-02-01T00:00,PT,
141510,53,2007-02-01T00:00,PPS,Titular
74225,40,1955-02-01T00:00,PSP,
218879,56,2019-02-01T00:00,PROS,
74038,52,2003-02-01T00:00,PPB,Titular
204449,56,2019-02-01T00:00,PSL,
73416,49,1991-02-01T00:00,PL*,Titular
141511,53,2007-02-01T00:00,PR,Titular
160567,52,2003-02-01T00:00,PSDB,Titular
73553,49,1991-02-01T00:00,PTB,Titular
73781,50,1995-02-01T00:00,PP***,Titular
193069,55,2015-02-01T00:00,PSD,
160566,54,2011-02-01T00:00,PSC,Titular
74571,51,1999-02-01T00:00,PT,Titular
73907,49,1991-02-01T00:00,PMDB,Titular
73761,49,1991-02-01T00:00,PTB,Titular
204415,56,2019-02-01T00:00,PSL,
146307,53,2007-02-01T00:00,PSDB,
74165,52,2003-02-01T00:00,PL*,Titular
141512,53,2007-02-01T00:00,PP**,Titular
74790,51,1999-02-01T00:00,PDT,Titular
74750,46,1979-02-01T00:00,MDB*,Titular
178896,55,2015-02-01T00:00,PMDB,
160657,54,2011-02-01T00:00,PT,Titular
204384,56,2019-02-01T00:00,PSD,
74327,45,1975-02-01T00:00,ARENA,Titular
74369,52,2003-02-01T00:00,PT,Titular
74447,51,1999-02-01T00:00,PFL,Titular
74080,49,1991-02-01T00:00,PMDB,Titular
204479,56,2019-02-01T00:00,PSL,
160564,54,2011-02-01T00:00,PMDB,Titular
73594,51,1999-02-01T00:00,PFL,
74751,49,1991-02-01T00:00,PT,Titular
214445,56,2019-02-01T00:00,PP,
166401,54,2011-02-01T00:00,PSDB,
74365,51,1999-02-01T00:00,PT,Titular
74352,51,1999-02-01T00:00,PSDB,Titular
178986,55,2015-02-01T00:00,PT,
74776,49,1991-02-01T00:00,PMDB,Titular
74359,51,1999-02-01T00:00,PTB,Titular
194260,55,2015-02-01T00:00,PRP,
66179,55,2015-02-01T00:00,DEM,
216198,56,2019-02-01T00:00,PSDB,
74159,52,2003-02-01T00:00,PT,Titular
74752,49,1991-02-01T00:00,PRN,Titular
73782,50,1995-02-01T00:00,PDT,Titular
178868,55,2015-02-01T00:00,PT,
74005,49,1991-02-01T00:00,PRN,Titular
204498,56,2019-02-01T00:00,DEM,
73464,51,1999-02-01T00:00,PPB,Titular
160563,54,2011-02-01T00:00,DEM,Titular
74399,52,2003-02-01T00:00,PFL,Titular
73684,51,1999-02-01T00:00,PT,
73603,51,1999-02-01T00:00,PT,
178987,55,2015-02-01T00:00,PCdoB,
204363,56,2019-02-01T00:00,PSC,
74753,49,1991-02-01T00:00,PSDB,Titular
180545,55,2015-02-01T00:00,DEM,
141514,53,2007-02-01T00:00,PCdoB,Titular
73463,51,1999-02-01T00:00,PMDB,Titular
